literacy,count
Neither r n write,NOT-PROCESSED
Both read,NOT-PROCESSED
Can't read or wirte,NOT-PROCESSED
No neithe,NOT-PROCESSED
Read wirter,NOT-PROCESSED
Reaid and wite,NOT-PROCESSED
R nor w,NOT-PROCESSED
C not,NOT-PROCESSED
Not rite or read,NOT-PROCESSED
Rite an read,NOT-PROCESSED
Cant reid rite,NOT-PROCESSED
Can Both,NOT-PROCESSED
Scholl,NOT-PROCESSED
Donot read and write,NOT-PROCESSED
Both a little,NOT-PROCESSED
At scholl,NOT-PROCESSED
Cant not read or rite,NOT-PROCESSED
Can read and c w,NOT-PROCESSED
Re wr,NOT-PROCESSED
Schlors,NOT-PROCESSED
Write not read,NOT-PROCESSED
Read nor wr,NOT-PROCESSED
Read or ley write,NOT-PROCESSED
Educated Read and write,NOT-PROCESSED
Can reed or write,NOT-PROCESSED
Servant,NOT-PROCESSED
Nor read or write,NOT-PROCESSED
Cannot r nor wr,NOT-PROCESSED
Not read and not write,NOT-PROCESSED
Cante read or write,NOT-PROCESSED
Twins r w,NOT-PROCESSED
Neithe read or w,NOT-PROCESSED
Red nor write,NOT-PROCESSED
Neither read nor rite,NOT-PROCESSED
Cannot r a rite,NOT-PROCESSED
School boys,NOT-PROCESSED
Only,NOT-PROCESSED
A little of both,NOT-PROCESSED
Cannot read nor wte,NOT-PROCESSED
Riead and write,NOT-PROCESSED
Educating,NOT-PROCESSED
Rite only,NOT-PROCESSED
Of read and write,NOT-PROCESSED
Shollar,NOT-PROCESSED
Wife,NOT-PROCESSED
R and writer,NOT-PROCESSED
weeid and write,NOT-PROCESSED
Reid rit,NOT-PROCESSED
Not read and wright,NOT-PROCESSED
Can reader write,NOT-PROCESSED
R not write,NOT-PROCESSED
Read only learning,NOT-PROCESSED
Rea ? write,NOT-PROCESSED
Cannot rd and rte,NOT-PROCESSED
Can read and wrg,NOT-PROCESSED
Cannon read and write,NOT-PROCESSED
Cannot reed or right,NOT-PROCESSED
Schorals,NOT-PROCESSED
Cannt read and writ,NOT-PROCESSED
Cannot note,NOT-PROCESSED
University,NOT-PROCESSED
Read alphabet,NOT-PROCESSED
Nil cannot,NOT-PROCESSED
Cant not read or write,NOT-PROCESSED
Very fair write,NOT-PROCESSED
Cantt read or write,NOT-PROCESSED
None read or write,NOT-PROCESSED
Cannot read rd,NOT-PROCESSED
Attending school read and write,NOT-PROCESSED
Canot read of write,NOT-PROCESSED
Read an wrigt,NOT-PROCESSED
Read and write learning,NOT-PROCESSED
Scarlar,NOT-PROCESSED
Not re nor w,NOT-PROCESSED
Cannot reid nor write,NOT-PROCESSED
Cannot Cannot,NOT-PROCESSED
Read rete,NOT-PROCESSED
Canno w,NOT-PROCESSED
Not r n w,NOT-PROCESSED
Can't read or,NOT-PROCESSED
Can read and write too young,NOT-PROCESSED
Schoolas,NOT-PROCESSED
Canot read writ,NOT-PROCESSED
He cannot read and write,NOT-PROCESSED
Carnt read or write,NOT-PROCESSED
Yes young to read,NOT-PROCESSED
Both can,NOT-PROCESSED
Used read and write,NOT-PROCESSED
Read and write could formerly,NOT-PROCESSED
Cannot R or write,NOT-PROCESSED
Can read or r,NOT-PROCESSED
General,NOT-PROCESSED
Cannot read n write,NOT-PROCESSED
Cannot wrt,NOT-PROCESSED
Able to write,NOT-PROCESSED
Cannot re or wte,NOT-PROCESSED
Cannot reade nor write,NOT-PROCESSED
Flliterate,NOT-PROCESSED
S Can,NOT-PROCESSED
Infants cannot read,NOT-PROCESSED
School teacher,NOT-PROCESSED
Cannot read and wre,NOT-PROCESSED
Cant re and wr,NOT-PROCESSED
Cannot w or write,NOT-PROCESSED
Cannt r nor w,NOT-PROCESSED
Read and write partly,NOT-PROCESSED
Can read ondly,NOT-PROCESSED
Connot read write,NOT-PROCESSED
Both read and wrte,NOT-PROCESSED
Reaa and write,NOT-PROCESSED
Can read and c wright,NOT-PROCESSED
Cannot or r,NOT-PROCESSED
Reaid and right,NOT-PROCESSED
Reaid right,NOT-PROCESSED
Cantt read and write,NOT-PROCESSED
N,NOT-PROCESSED
Yes Red and write,NOT-PROCESSED
Going to shool,NOT-PROCESSED
Can read an wr,NOT-PROCESSED
Canot r and r,NOT-PROCESSED
Not perfect,NOT-PROCESSED
Cannot reader,NOT-PROCESSED
Illetarate,NOT-PROCESSED
Could not re rite,NOT-PROCESSED
Yes read rite,NOT-PROCESSED
She read rite,NOT-PROCESSED
Cannor read or w,NOT-PROCESSED
S read,NOT-PROCESSED
No schloar,NOT-PROCESSED
W reade and write,NOT-PROCESSED
He read only,NOT-PROCESSED
Can read not wr,NOT-PROCESSED
Can read-write,NOT-PROCESSED
Can read and rte,NOT-PROCESSED
Wrede write,NOT-PROCESSED
Read english,NOT-PROCESSED
Read nor Write,NOT-PROCESSED
Reads and Write,NOT-PROCESSED
Read and write can r and r,NOT-PROCESSED
Canot read a write,NOT-PROCESSED
Not read of write,NOT-PROCESSED
Wread and Write,NOT-PROCESSED
Read cant w,NOT-PROCESSED
Cannot ried,NOT-PROCESSED
Both read and w,NOT-PROCESSED
I read and write,NOT-PROCESSED
Yes slightly,NOT-PROCESSED
At school learing,NOT-PROCESSED
Cannot wread nor write,NOT-PROCESSED
Cannott r or write,NOT-PROCESSED
Reid get write,NOT-PROCESSED
Read and not,NOT-PROCESSED
Cant Read nor wr,NOT-PROCESSED
Read and wigh,NOT-PROCESSED
Read and wwrite,NOT-PROCESSED
Read and write eng,NOT-PROCESSED
Read and writhe,NOT-PROCESSED
Comot read,NOT-PROCESSED
Carning to read and write,NOT-PROCESSED
Cat read,NOT-PROCESSED
Canot read and r,NOT-PROCESSED
No scolor,NOT-PROCESSED
Read and righte,NOT-PROCESSED
Read and irite,NOT-PROCESSED
Cannot raed,NOT-PROCESSED
Yes c read and write,NOT-PROCESSED
He cant write,NOT-PROCESSED
Can't read or wr,NOT-PROCESSED
Illiteate,NOT-PROCESSED
Cannot r c w,NOT-PROCESSED
Cannot r or rt,NOT-PROCESSED
Cannot r of w,NOT-PROCESSED
Merchant,NOT-PROCESSED
Cannot wri,NOT-PROCESSED
Can read an writ,NOT-PROCESSED
Ca read,NOT-PROCESSED
Can cry,NOT-PROCESSED
Cannot r or ri,NOT-PROCESSED
Babie,NOT-PROCESSED
School cannot read,NOT-PROCESSED
Yeas,NOT-PROCESSED
Can read and wght,NOT-PROCESSED
Reat and right,NOT-PROCESSED
CanNot read nor write,NOT-PROCESSED
Only partially,NOT-PROCESSED
Children at school,NOT-PROCESSED
C read or w,NOT-PROCESSED
Ma tcd,NOT-PROCESSED
Not r nor w,NOT-PROCESSED
Cannot read or write-neither,NOT-PROCESSED
Yes cannot read or write,NOT-PROCESSED
Read infant,NOT-PROCESSED
R and scholar w,NOT-PROCESSED
Read wrght,NOT-PROCESSED
No twins,NOT-PROCESSED
Read not Write,NOT-PROCESSED
Cant reaid or write,NOT-PROCESSED
Dont r or write,NOT-PROCESSED
Red writ,NOT-PROCESSED
Read a little only,NOT-PROCESSED
Can write and can read,NOT-PROCESSED
Read no write,NOT-PROCESSED
Cant read and write neather,NOT-PROCESSED
Cannot reo,NOT-PROCESSED
Read an wr,NOT-PROCESSED
Can redd write,NOT-PROCESSED
Being educated,NOT-PROCESSED
Reid wr,NOT-PROCESSED
Catton read or write,NOT-PROCESSED
Cannot reed nor right,NOT-PROCESSED
Reid an write,NOT-PROCESSED
can read and write,NOT-PROCESSED
Read write and music,NOT-PROCESSED
Read and write bothe,NOT-PROCESSED
Notable to read or write,NOT-PROCESSED
Read and write No,NOT-PROCESSED
Cant reed nor rite,NOT-PROCESSED
Reeds,NOT-PROCESSED
Cannot reade and write,NOT-PROCESSED
Do not write,NOT-PROCESSED
Read and wrelt,NOT-PROCESSED
Can read and write each,NOT-PROCESSED
School john of god,NOT-PROCESSED
Private Study,NOT-PROCESSED
Can and write read,NOT-PROCESSED
Can re write,NOT-PROCESSED
Red ad write,NOT-PROCESSED
Cannot red nor w,NOT-PROCESSED
Canread and write,NOT-PROCESSED
Cannot read not wright,NOT-PROCESSED
Cano read,NOT-PROCESSED
Ilitrate,NOT-PROCESSED
Read rte,NOT-PROCESSED
Can rea,NOT-PROCESSED
Read can read,NOT-PROCESSED
National education,NOT-PROCESSED
Rad and right,NOT-PROCESSED
Read writie,NOT-PROCESSED
Cannot rd or wr,NOT-PROCESSED
Read not wr,NOT-PROCESSED
Read and rite yes,NOT-PROCESSED
Illeturate,NOT-PROCESSED
Canot ree or rite,NOT-PROCESSED
In school,NOT-PROCESSED
Reiad and write,NOT-PROCESSED
Cannot read either,NOT-PROCESSED
Write nor read,NOT-PROCESSED
Cont red,NOT-PROCESSED
Not read writ,NOT-PROCESSED
Sixth standerd r and r,NOT-PROCESSED
Wrting,NOT-PROCESSED
Not ritg,NOT-PROCESSED
She can,NOT-PROCESSED
Infantor,NOT-PROCESSED
? write,NOT-PROCESSED
Read and write can read write,NOT-PROCESSED
Cannot not riad,NOT-PROCESSED
N able to read,NOT-PROCESSED
Cannot read baby,NOT-PROCESSED
Canott read write,NOT-PROCESSED
Read or wte,NOT-PROCESSED
Fully Educated,NOT-PROCESSED
Reads writs,NOT-PROCESSED
Red an writ,NOT-PROCESSED
Reed w,NOT-PROCESSED
Cannot read W,NOT-PROCESSED
Write reade,NOT-PROCESSED
Connot read or wrte,NOT-PROCESSED
Can read but cant write,NOT-PROCESSED
Can rd write,NOT-PROCESSED
Can do Niether,NOT-PROCESSED
Read write and count,NOT-PROCESSED
Read n and write,NOT-PROCESSED
Cannot reaid or rit,NOT-PROCESSED
Reade and wrte,NOT-PROCESSED
Cant r or writ,NOT-PROCESSED
Reas and write,NOT-PROCESSED
Cannot and c read,NOT-PROCESSED
Cannet mat,NOT-PROCESSED
Can read and writer,NOT-PROCESSED
Rea an right,NOT-PROCESSED
Husband and wife cant,NOT-PROCESSED
"Yes, both",NOT-PROCESSED
Cannoth read,NOT-PROCESSED
Cannot read scholl,NOT-PROCESSED
Read and wigt,NOT-PROCESSED
Can rard and wright,NOT-PROCESSED
At s,NOT-PROCESSED
Cannot rd or rite,NOT-PROCESSED
Read wrt,NOT-PROCESSED
Reade and writ,NOT-PROCESSED
Cannat r,NOT-PROCESSED
Cant r or wright,NOT-PROCESSED
She cannot r write,NOT-PROCESSED
Read an wit,NOT-PROCESSED
And write and read,NOT-PROCESSED
Read and write attending school,NOT-PROCESSED
Canest read or write,NOT-PROCESSED
Cant read wr,NOT-PROCESSED
Can not r,NOT-PROCESSED
Dont read or,NOT-PROCESSED
All read and rite,NOT-PROCESSED
I cannot read nor rite,NOT-PROCESSED
Reed righ,NOT-PROCESSED
W read a write,NOT-PROCESSED
Cant read of write,NOT-PROCESSED
Not going school,NOT-PROCESSED
Can rede write,NOT-PROCESSED
Read and write and before selling blind,NOT-PROCESSED
Only can read,NOT-PROCESSED
Can not do either,NOT-PROCESSED
Not write and read,NOT-PROCESSED
Cannot cant,NOT-PROCESSED
Cannon r or w,NOT-PROCESSED
Raad write,NOT-PROCESSED
Cannot read illetrate,NOT-PROCESSED
Cn read or write,NOT-PROCESSED
Can reat write,NOT-PROCESSED
Can reads,NOT-PROCESSED
Reed onley,NOT-PROCESSED
Read and rith,NOT-PROCESSED
Can reid and wite,NOT-PROCESSED
Cant read neither,NOT-PROCESSED
Cannot-Cannot,NOT-PROCESSED
Read an write scholars,NOT-PROCESSED
Read rait,NOT-PROCESSED
Roread and write,NOT-PROCESSED
Can read write can,NOT-PROCESSED
Cant read or wt,NOT-PROCESSED
Cannot read or read,NOT-PROCESSED
NOT-PROCESSEDst Book of Lessons,NOT-PROCESSED
Infant School,NOT-PROCESSED
Read e s,NOT-PROCESSED
Cannot read get,NOT-PROCESSED
Canot red or w,NOT-PROCESSED
Can't r and w,NOT-PROCESSED
No can,NOT-PROCESSED
Not read or wrt,NOT-PROCESSED
Meat wrt,NOT-PROCESSED
Can read a wright,NOT-PROCESSED
Cannot and r r,NOT-PROCESSED
Plain,NOT-PROCESSED
Can read o,NOT-PROCESSED
Redd rite,NOT-PROCESSED
Can reand and write,NOT-PROCESSED
Read an rigte,NOT-PROCESSED
Cannt r or write,NOT-PROCESSED
Can read and writte,NOT-PROCESSED
Can rea and write,NOT-PROCESSED
Can read and read write,NOT-PROCESSED
Read attending school,NOT-PROCESSED
Read and writgh,NOT-PROCESSED
Can not r w,NOT-PROCESSED
Can't read can't write,NOT-PROCESSED
Unable to r or write,NOT-PROCESSED
Read and wgh,NOT-PROCESSED
Read and read write,NOT-PROCESSED
Cannat read or write,NOT-PROCESSED
Not Going to School,NOT-PROCESSED
Red and rigt,NOT-PROCESSED
Cannot read or c,NOT-PROCESSED
Cannot read or talk,NOT-PROCESSED
Cannot-read,NOT-PROCESSED
Can reede and rite,NOT-PROCESSED
Cant read and wite,NOT-PROCESSED
Cant write not read,NOT-PROCESSED
R c church,NOT-PROCESSED
Can read and or write,NOT-PROCESSED
Can read schoolar,NOT-PROCESSED
Can reead and write,NOT-PROCESSED
Read and waite,NOT-PROCESSED
C R,NOT-PROCESSED
Read cannot wrte,NOT-PROCESSED
Reed and rig,NOT-PROCESSED
Not read and wri,NOT-PROCESSED
No cannot red,NOT-PROCESSED
All read write,NOT-PROCESSED
Cannot read or write not english,NOT-PROCESSED
Dose not read,NOT-PROCESSED
Children canot read,NOT-PROCESSED
Read and w cannot,NOT-PROCESSED
Reed Rite,NOT-PROCESSED
R read wright,NOT-PROCESSED
She can read rite,NOT-PROCESSED
He cant read or write,NOT-PROCESSED
Cannot read nor wrt,NOT-PROCESSED
Cannot red w,NOT-PROCESSED
Can read and write etc,NOT-PROCESSED
Fair educated,NOT-PROCESSED
Cannot read read and write,NOT-PROCESSED
Commencing,NOT-PROCESSED
Cannott Read,NOT-PROCESSED
Cannot read co,NOT-PROCESSED
All can read,NOT-PROCESSED
Can rad,NOT-PROCESSED
Read and no,NOT-PROCESSED
Write-re,NOT-PROCESSED
Read ? write,NOT-PROCESSED
Can redd,NOT-PROCESSED
Fair education,NOT-PROCESSED
No read no write,NOT-PROCESSED
Cannot rad nor writ,NOT-PROCESSED
Can n read,NOT-PROCESSED
Cannot read at home,NOT-PROCESSED
Read nil write nil,NOT-PROCESSED
Conat read,NOT-PROCESSED
Cannot read wte,NOT-PROCESSED
General read and write,NOT-PROCESSED
Read t write,NOT-PROCESSED
Cannot read can't read or write,NOT-PROCESSED
Read and riete,NOT-PROCESSED
Yeas r and w,NOT-PROCESSED
Can read and write English and Irish,NOT-PROCESSED
Reed and wrtte,NOT-PROCESSED
read,NOT-PROCESSED
Beginning to too young,NOT-PROCESSED
N read nor write,NOT-PROCESSED
Cannot read no (infants),NOT-PROCESSED
No read and writ,NOT-PROCESSED
Atending sch,NOT-PROCESSED
Cannot or read write,NOT-PROCESSED
Niether read nor write,NOT-PROCESSED
Not read nor wright,NOT-PROCESSED
Read and write ? AA,NOT-PROCESSED
Neither reed nor write,NOT-PROCESSED
Can on write,NOT-PROCESSED
Can't read nor wr,NOT-PROCESSED
At Home,NOT-PROCESSED
Nell,NOT-PROCESSED
Cholers,NOT-PROCESSED
Infant at school,NOT-PROCESSED
An infant,NOT-PROCESSED
W,NOT-PROCESSED
Read writy,NOT-PROCESSED
Reede,NOT-PROCESSED
Reed and wrete,NOT-PROCESSED
Spell only,NOT-PROCESSED
Read and wtr,NOT-PROCESSED
Boath read and write,NOT-PROCESSED
Can rread and write,NOT-PROCESSED
Not schooled,NOT-PROCESSED
Lliterate,NOT-PROCESSED
Read wrigtt,NOT-PROCESSED
Neither rd or write,NOT-PROCESSED
Canr read and write,NOT-PROCESSED
Cannot reide,NOT-PROCESSED
Red and writte,NOT-PROCESSED
Cannoot read,NOT-PROCESSED
Regular instructions at home,NOT-PROCESSED
Cant reead,NOT-PROCESSED
Can ried or write,NOT-PROCESSED
Can read nor rite,NOT-PROCESSED
Cannot rhead,NOT-PROCESSED
Rread and wrte,NOT-PROCESSED
Not read nor,NOT-PROCESSED
Meighter read and write,NOT-PROCESSED
No Ed,NOT-PROCESSED
Conant read,NOT-PROCESSED
Neithr read or write,NOT-PROCESSED
Cant red nor rite,NOT-PROCESSED
Red and write both,NOT-PROCESSED
Canote rea,NOT-PROCESSED
Read and noly,NOT-PROCESSED
Read and walker,NOT-PROCESSED
Can both rede and rite,NOT-PROCESSED
Not read and w,NOT-PROCESSED
Can reed print,NOT-PROCESSED
Doesent read and write,NOT-PROCESSED
Riead,NOT-PROCESSED
Neithe,NOT-PROCESSED
Too going,NOT-PROCESSED
Cant r and write,NOT-PROCESSED
An infant cannot read and write,NOT-PROCESSED
Reate and write,NOT-PROCESSED
Write and wread,NOT-PROCESSED
No at school,NOT-PROCESSED
R yes,NOT-PROCESSED
Scholars read,NOT-PROCESSED
Read vrite,NOT-PROCESSED
Can red right,NOT-PROCESSED
Can reed and rte,NOT-PROCESSED
Cannot r or wrig,NOT-PROCESSED
Neither read nor writes,NOT-PROCESSED
Cannot rte,NOT-PROCESSED
Read wrrite,NOT-PROCESSED
Read yes write yes,NOT-PROCESSED
Canot reed nor rite,NOT-PROCESSED
Rad and wright,NOT-PROCESSED
Canot read right,NOT-PROCESSED
Going to schoole,NOT-PROCESSED
Cnt red or write,NOT-PROCESSED
Neither can read nor write,NOT-PROCESSED
Canot Read or Right,NOT-PROCESSED
Reed reed,NOT-PROCESSED
Can re and w,NOT-PROCESSED
Cant re or w,NOT-PROCESSED
Cannot read not not,NOT-PROCESSED
Cannot read instruct at home,NOT-PROCESSED
Cannot r or right,NOT-PROCESSED
Read and write c,NOT-PROCESSED
Read or write no,NOT-PROCESSED
Cannot read rig,NOT-PROCESSED
Can reeid,NOT-PROCESSED
Neigther read or write,NOT-PROCESSED
English reed or writte,NOT-PROCESSED
Engish read write,NOT-PROCESSED
Engish reed ?,NOT-PROCESSED
Can read and write possible,NOT-PROCESSED
Read and write cambridge,NOT-PROCESSED
Writte and read,NOT-PROCESSED
W read and writ,NOT-PROCESSED
Rebe and write,NOT-PROCESSED
Read and riget,NOT-PROCESSED
Read and wrights,NOT-PROCESSED
Rather young,NOT-PROCESSED
Read and write thoroughly educated,NOT-PROCESSED
Goes to School,NOT-PROCESSED
Not NOT-PROCESSED,NOT-PROCESSED
Read or wite,NOT-PROCESSED
Can read only cannot write,NOT-PROCESSED
Can read rigt,NOT-PROCESSED
Fifth standerd r and r,NOT-PROCESSED
No baby,NOT-PROCESSED
At school can read,NOT-PROCESSED
Not able and nor read,NOT-PROCESSED
Can rite a read,NOT-PROCESSED
Irish and English,NOT-PROCESSED
Cant reid nor write,NOT-PROCESSED
Read cant,NOT-PROCESSED
Can read o write,NOT-PROCESSED
Read aand write,NOT-PROCESSED
Classical sch,NOT-PROCESSED
Cannot read for obivious reasons,NOT-PROCESSED
Cano't read or w,NOT-PROCESSED
Canot r o w,NOT-PROCESSED
Wred an write,NOT-PROCESSED
Wright and read,NOT-PROCESSED
Can read rite only,NOT-PROCESSED
C and rite,NOT-PROCESSED
Reat a rite,NOT-PROCESSED
Can not write cannot read,NOT-PROCESSED
Reat an write,NOT-PROCESSED
Can read and no write,NOT-PROCESSED
Read and wrote,NOT-PROCESSED
Read and nor rite,NOT-PROCESSED
Roman write,NOT-PROCESSED
Cannot neither read,NOT-PROCESSED
Cannot and read or,NOT-PROCESSED
Can read blunt,NOT-PROCESSED
Cannot read n rite,NOT-PROCESSED
Cannot Riad,NOT-PROCESSED
Can redd w and write,NOT-PROCESSED
Cannot red and w,NOT-PROCESSED
Cannot read our write,NOT-PROCESSED
Canot r or r,NOT-PROCESSED
Read and write midling,NOT-PROCESSED
Read Nether,NOT-PROCESSED
Children cannot read and w,NOT-PROCESSED
Children cannot read ?,NOT-PROCESSED
Annot read or wrtte,NOT-PROCESSED
Reead writ,NOT-PROCESSED
Cannot rad and write,NOT-PROCESSED
Canot read and right,NOT-PROCESSED
Reed and and wre,NOT-PROCESSED
Rred and rite,NOT-PROCESSED
Cannot reed or wr,NOT-PROCESSED
Reid cannt,NOT-PROCESSED
Ilbbrate read and write,NOT-PROCESSED
H can read write,NOT-PROCESSED
Wread a write,NOT-PROCESSED
Can read Write,NOT-PROCESSED
Cant redd write,NOT-PROCESSED
None no,NOT-PROCESSED
Cana read and w,NOT-PROCESSED
Wrtie and read,NOT-PROCESSED
Neither read only,NOT-PROCESSED
Can read wrid,NOT-PROCESSED
Redde and write,NOT-PROCESSED
Cannot read or none write,NOT-PROCESSED
Yes only,NOT-PROCESSED
Don read or write,NOT-PROCESSED
Cannott read or wri,NOT-PROCESSED
Cannott read or wr,NOT-PROCESSED
Cannot read or ryte,NOT-PROCESSED
R Write,NOT-PROCESSED
Read write eletic,NOT-PROCESSED
Cant write or red,NOT-PROCESSED
Read and litter,NOT-PROCESSED
Cannot read r and w,NOT-PROCESSED
Cannot eead,NOT-PROCESSED
Can rede and write,NOT-PROCESSED
Rite and rite,NOT-PROCESSED
Can onley read,NOT-PROCESSED
Read cannot writ,NOT-PROCESSED
Riad and wrt,NOT-PROCESSED
Yes read a write,NOT-PROCESSED
Read and wsrite,NOT-PROCESSED
Conot read rite,NOT-PROCESSED
Read and write school boy,NOT-PROCESSED
Incapacitated by illness read and write,NOT-PROCESSED
Read onlye,NOT-PROCESSED
Able to read write,NOT-PROCESSED
Irish write,NOT-PROCESSED
Graduate lld of kin cott ?,NOT-PROCESSED
Rea and wri,NOT-PROCESSED
Canot red nor write,NOT-PROCESSED
Canot not red nor write,NOT-PROCESSED
Canot red or wright,NOT-PROCESSED
I can reed and write,NOT-PROCESSED
Can read and wr write,NOT-PROCESSED
Read cannor write,NOT-PROCESSED
Reid cant write,NOT-PROCESSED
Canot read and c,NOT-PROCESSED
Canott rede,NOT-PROCESSED
?cation,NOT-PROCESSED
Cannot reud,NOT-PROCESSED
Can write an read,NOT-PROCESSED
Canot read or wri,NOT-PROCESSED
Partly,NOT-PROCESSED
Illilerate,NOT-PROCESSED
Reaed nor write,NOT-PROCESSED
Not Read write,NOT-PROCESSED
Cannot rit,NOT-PROCESSED
Can read scollars,NOT-PROCESSED
Rerd and write,NOT-PROCESSED
unable to read or write,NOT-PROCESSED
Cant read cant wright,NOT-PROCESSED
Dant read or wrt,NOT-PROCESSED
Not read read or write,NOT-PROCESSED
Read and cannot rite,NOT-PROCESSED
Canot wread,NOT-PROCESSED
C not r,NOT-PROCESSED
Cant r or wrt,NOT-PROCESSED
Cant write nor rd,NOT-PROCESSED
B.A.H.D,NOT-PROCESSED
Reard only,NOT-PROCESSED
?read or write,NOT-PROCESSED
No Schooler,NOT-PROCESSED
? read and rite,NOT-PROCESSED
Wreed and writ,NOT-PROCESSED
Not red write,NOT-PROCESSED
Cannot read at Home,NOT-PROCESSED
not,NOT-PROCESSED
write read,NOT-PROCESSED
Can read or wrte,NOT-PROCESSED
Believe I can,NOT-PROCESSED
Read and write school child,NOT-PROCESSED
Reed canot write,NOT-PROCESSED
Undergraduate university of read and write,NOT-PROCESSED
Not able to etc,NOT-PROCESSED
Can read writhe,NOT-PROCESSED
Can write r,NOT-PROCESSED
Cannot read None,NOT-PROCESSED
Cannot re or w?te,NOT-PROCESSED
Cannott r and write,NOT-PROCESSED
Read but c rite,NOT-PROCESSED
Can Niether read nor write,NOT-PROCESSED
Cannot r not w,NOT-PROCESSED
Canott r and wrte,NOT-PROCESSED
Connot Read,NOT-PROCESSED
Rread and wright,NOT-PROCESSED
Cannot Red,NOT-PROCESSED
"Yes, Both",NOT-PROCESSED
She Can read and write,NOT-PROCESSED
He can not red,NOT-PROCESSED
He can read wrt,NOT-PROCESSED
Read and catholic,NOT-PROCESSED
He can rede rite,NOT-PROCESSED
Read and write ?,NOT-PROCESSED
Cannot not read re write,NOT-PROCESSED
Can red wright,NOT-PROCESSED
Reeds and rigtts,NOT-PROCESSED
Not read no rite,NOT-PROCESSED
C n read,NOT-PROCESSED
Both read and write a little,NOT-PROCESSED
Read and write general,NOT-PROCESSED
Spelling only,NOT-PROCESSED
Not redde,NOT-PROCESSED
Not riate,NOT-PROCESSED
Read ?rite,NOT-PROCESSED
Knows is letter,NOT-PROCESSED
Neither read nor wright,NOT-PROCESSED
Cant read wrt,NOT-PROCESSED
Read and write now blind,NOT-PROCESSED
Not read or wte,NOT-PROCESSED
? read only,NOT-PROCESSED
Church school,NOT-PROCESSED
Ridd and write,NOT-PROCESSED
Cannot r wr,NOT-PROCESSED
Not read no wri,NOT-PROCESSED
B read and rite,NOT-PROCESSED
Read c rite,NOT-PROCESSED
Canntt read or write,NOT-PROCESSED
Cannot reard or ri,NOT-PROCESSED
She cant read and write,NOT-PROCESSED
Cannot reid and writ,NOT-PROCESSED
R Cannot read,NOT-PROCESSED
Cannot rread or write,NOT-PROCESSED
Reed and wr,NOT-PROCESSED
Cannot read or write at shool,NOT-PROCESSED
Yes read and write both english and welsh,NOT-PROCESSED
Read family,NOT-PROCESSED
At shool,NOT-PROCESSED
Cannot read and wirte,NOT-PROCESSED
Graduate of oxford,NOT-PROCESSED
Nither read or write,NOT-PROCESSED
Cant both,NOT-PROCESSED
Cannot read no wrt,NOT-PROCESSED
Reet and write,NOT-PROCESSED
She can read and rite,NOT-PROCESSED
Read ond write,NOT-PROCESSED
She cannot red wr,NOT-PROCESSED
Not reader or writer,NOT-PROCESSED
Does not r and w,NOT-PROCESSED
Cannot read read,NOT-PROCESSED
Can read Book at B,NOT-PROCESSED
R and writes,NOT-PROCESSED
Ifant,NOT-PROCESSED
Labourer,NOT-PROCESSED
Read and write both can,NOT-PROCESSED
Reads and rite,NOT-PROCESSED
Schoollar,NOT-PROCESSED
She Can,NOT-PROCESSED
Can reod,NOT-PROCESSED
Reate write,NOT-PROCESSED
Reman and write,NOT-PROCESSED
Rede and wr,NOT-PROCESSED
Can you read,NOT-PROCESSED
Cannot read or w going to school,NOT-PROCESSED
Cant read and cant write,NOT-PROCESSED
Cannot read or write child,NOT-PROCESSED
I writee and read,NOT-PROCESSED
No write,NOT-PROCESSED
Caring,NOT-PROCESSED
Not Much,NOT-PROCESSED
Neither read no write,NOT-PROCESSED
Can read but nor write,NOT-PROCESSED
Can not write or read,NOT-PROCESSED
Cant read or rith,NOT-PROCESSED
Meither read or w,NOT-PROCESSED
Don,NOT-PROCESSED
They can reed and right,NOT-PROCESSED
Cannot rear or write,NOT-PROCESSED
Cant read no w,NOT-PROCESSED
Cant read n w,NOT-PROCESSED
Caonnt read,NOT-PROCESSED
Canot not,NOT-PROCESSED
Ride and rites,NOT-PROCESSED
Read and rite cannnot rite,NOT-PROCESSED
Cannot rrite,NOT-PROCESSED
Read waite,NOT-PROCESSED
Not to good reid a little,NOT-PROCESSED
Cannot rite can read,NOT-PROCESSED
Read-Write,NOT-PROCESSED
Read wrighte,NOT-PROCESSED
Read not Cant write,NOT-PROCESSED
Cannot write either,NOT-PROCESSED
Neit read or write,NOT-PROCESSED
Read Wr,NOT-PROCESSED
R and wie,NOT-PROCESSED
Cannot read orr write,NOT-PROCESSED
Cant read nor writght,NOT-PROCESSED
Read a writee,NOT-PROCESSED
Read and scrible,NOT-PROCESSED
Agrl cannot read,NOT-PROCESSED
Read write a little,NOT-PROCESSED
Cany read only,NOT-PROCESSED
All can write,NOT-PROCESSED
Neether,NOT-PROCESSED
Reed nor wrt,NOT-PROCESSED
Wr and rite,NOT-PROCESSED
Reed no wrt,NOT-PROCESSED
Wipr,NOT-PROCESSED
Reiad,NOT-PROCESSED
Rede witer,NOT-PROCESSED
She can r write,NOT-PROCESSED
Neither R or W,NOT-PROCESSED
Cannot read iee,NOT-PROCESSED
Cannot no read and write,NOT-PROCESSED
Read cant writ,NOT-PROCESSED
Yes red and rit,NOT-PROCESSED
Not read ?,NOT-PROCESSED
Neither red nor write,NOT-PROCESSED
Scold,NOT-PROCESSED
